(aaltoan01,Antti,Aalto)
(balasja01,Jaroslav,Balastik)
(baldehe01,Helmut,Balderis)
(baldwdo01,Doug,Baldwin)
(balejjo01,Jozef,Balej)
(balesmi01,Mike,Bales)
(balfoea01,Earl,Balfour)
(balfomu01,Murray,Balfour)
(ballake01,Keith,Ballard)
(ballbl01,Blake,Ball)
(ballte01,Terry,Ball)
(balmoma01,Maxim,Balmochnykh)
(balonda01,Dave,Balon)
(baltibr01,Bryon,Baltimore)
(baluist01,Stan,Baluik)
(bancrst01,Steve,Bancroft)
(banduje01,Jeff,Bandura)
(banhafr01,Frank,Banham)
(banksda01,Darren,Banks)
(bannemu01,Murray,Bannerman)
(bannidr01,Drew,Bannister)
(barahra01,Ralph,Barahona)
(baraniv01,Ivan,Baranka)
(barbean01,Andy,Barbe)
(barbebi01,Bill,Barber)
(barbebo01,Bob,Barber)
(barbedo01,Don,Barber)
(barboal01,Alf,Barbour)
(barchkr01,Krys,Barch)
(barilbi01,Bill,Barilko)
(barinmi01,Michal,Barinka)
(barkeca01,Cam,Barker)
(barkldo01,Doug,Barkley)
(barlobo01,Bob,Barlow)
(barnama01,Matthew,Barnaby)
(barnebl01,Blair,Barnes)
(barneno01,Norm,Barnes)
(barnery01,Ryan,Barnes)
(barnesc01,Scott,Barney)
(barnest01,Stu,Barnes)
(baronma01,Marco,Baron)
(baronmu01,Murray,Baron)
(baronno01,Normand,Baron)
(barrado01,Doug,Barrault)
(barrato01,Tom,Barrasso)
(barrda01,Dave,Barr)
(barrefr01,Fred,Barrett)
(barrejo01,John,Barrett)
(barrido01,Doug,Barrie)
(barrile01,Len,Barrie)
(barrity01,Tyson,Barrie)
(barryed01,Ed,Barry)
(barryma01,Marty,Barry)
(barryra01,Ray,Barry)
(bartelu01,Lubos,Bartecko)
(bartero01,Robin,Bartel)
(bartkma01,Matt,Bartkowski)
(bartlji01,Jim,Bartlett)
(bartocl01,Cliff,Barton)
(bartomi01,Milan,Bartovic)
(bartope01,Peter,Bartos)
(bartuos01,Oskars,Bartulis)
(bashkan01,Andrei,Bashkirov)
(bassco01,Cody,Bass)
(bassebo01,Bob,Bassen)
(basseha01,Hank,Bassen)
(bastiba01,Baz,Bastien)
(bastry01,Ryan,Bast)
(batemja01,Jamie,Bateman)
(batessh01,Shawn,Bates)
(bathefr01,Frank,Bathe)
(bathgan01,Andy,Bathgate)
(bathgfr01,Frank,Bathgate)
(battaba01,Bates,Battaglia)
(batteca01,Carl,Battell)
(batteje01,Jeff,Batters)
(batyrru01,Ruslan,Batyrshin)
(bauerbo01,Bobby,Bauer)
(baumaga01,Gary,Bauman)
(baumgke01,Ken,Baumgartner)
(baumgmi01,Mike,Baumgartner)
(baumgno01,Nolan,Baumgartner)
(baunbo01,Bob,Baun)
(bautise01,Sergei,Bautin)
(bawaro01,Robin,Bawa)
(bawlfni01,Nick,Bawlf)
(baxtepa01,Paul,Baxter)
(baydary01,Ryan,Bayda)
(beadlsa01,Sandy,Beadle)
(beaglja01,Jay,Beagle)
(beatofr01,Frank,Beaton)
(beattre01,Red,Beattie)
(beaucfr01,Francois,Beauchemin)
(beauder01,Eric,Beaudoin)
(beaudno01,Norm,Beaudin)
(beaudro01,Roxy,Beaudro)
(beaudse01,Serge,Beaudoin)
(beaudyv01,Yves,Beaudoin)
(beaufma01,Mark,Beaufait)
(beaulal01,Alain,Beaule)
(beaupdo01,Don,Beaupre)
(beaurst01,Stephane,Beauregard)
(beckba01,Barry,Beck)
(beckebo01,Bob,Beckett)
(beckfch01,Chris,Beckford-Tseu)
(bedarja01,James,Bedard)
(bedarji01,Jim,Bedard)
(beddocl01,Clayton,Beddoes)
(bednaja01,Jaroslav,Bednar)
(bednajo01,John,Bednarski)
(beechkr01,Kris,Beech)
(beersbo01,Bob,Beers)
(beersed01,Eddy,Beers)
(beginst01,Steve,Begin)
(behlidi01,Dick,Behling)
(behrema01,Marc,Behrend)
(beislfr01,Frank,Beisler)
(bekarde01,Derek,Bekar)
(belakwa01,Wade,Belak)
(belanal01,Alain,Belanger)
(belaner01,Eric,Belanger)
(belanfr01,Francis,Belanger)
(belanje01,Jesse,Belanger)
(belanke01,Ken,Belanger)
(belanro01,Roger,Belanger)
(belanyv01,Yves,Belanger)
(belesma01,Matt,Beleskey)
(belfoed01,Ed,Belfour)
(belhumi01,Michel,Belhumeur)
(belisda01,Danny,Belisle)
(belivje01,Jean,Beliveau)
(belivma01,Marcel,Beliveau)
(bellane01,Neil,Belland)
(bellawa01,Walt,Bellamy)
(bellbi01,Billy,Bell)
(bellbr01,Bruce,Bell)
(bellbr02,Brendan,Bell)
(bellean01,Andy,Bellemer)
(bellebl01,Blake,Bellefeuille)
(bellepe01,Pete,Bellefeuille)
(bellesh01,Shawn,Belle)
(bellgo01,Gordie,Bell)
(bellha01,Harry,Bell)
(belljo01,Joe,Bell)
(bellma01,Mark,Bell)
(bellobr01,Brian,Bellows)
(bendaja01,Jan,Benda)
(bendli01,Lin,Bend)
(benedcl01,Clint,Benedict)
(benne01,,Bennett)
(bennead01,Adam,Bennett)
(bennebi01,Bill,Bennett)
(bennecu01,Curt,Bennett)
(bennefr01,Frank,Bennett)
(benneha01,Harvey,Bennett)
(benneha02,Harvey,Bennett)
(bennejo01,John,Bennett)
(bennema01,Max,Bennett)
(benneri01,Rick,Bennett)
(bennewe01,Wendell,Bennett)
(bennibr01,Brian,Benning)
(benniji01,Jim,Benning)
(bennja01,Jamie,Benn)
(bennjo01,Jordie,Benn)
(benoian01,Andre,Benoit)
(benoijo01,Joe,Benoit)
(bensobi01,Bill,Benson)
(bensobo01,Bobby,Benson)
(bensoco01,Connie,Benson)
(bentise01,Sean,Bentivoglio)
(bentldo01,Doug,Bentley)
(bentlma01,Max,Bentley)
(bentlre01,Reg,Bentley)
(benysla01,Ladislav,Benysek)
(benzeji01,Jim,Benzelock)
(beralpa01,Paul,Beraldo)
(beranjo01,Josef,Beranek)
(berarbr01,Bryan,Berard)
(berehdr01,Drake,Berehowsky)
(berenbu01,Bubba,Berenzweig)
(berenre01,Red,Berenson)
(berezpe01,Perry,Berezan)
(berezse01,Sergei,Berezin)
(bergak01,Aki,Berg)
(bergbi01,Bill,Berg)
(bergdfr01,Fred,Bergdinon)
(bergeje01,Jean-Claude,Bergeron)
(bergema01,Marc,Bergevin)
(bergema02,Marc-Andre,Bergeron)
(bergemi01,Michel,Bergeron)
(bergemi02,Mike,Berger)
(bergepa01,Patrice,Bergeron)
(bergese01,Sean,Bergenheim)
(bergeto01,Todd,Bergen)
(bergeyv01,Yves,Bergeron)
(bergfni01,Nicklas,Bergfors)
(bergkst01,Stefan,Bergkvist)
(berglbi01,Bill,Berglund)
(berglbo01,Bob,Bergloff)
(berglbo02,Bo,Berglund)
(berglch01,Christian,Berglund)
(berglpa01,Patrik,Berglund)
(berglti01,Tim,Bergland)
(bergmga01,Gary,Bergman)
(bergmth01,Thommie,Bergman)
(bergqjo01,Jonas,Bergqvist)
(berkhad01,Adam,Berkhoel)
(berlilo01,Louis,Berlinquette)
(bernhti01,Tim,Bernhardt)
(berniar01,Art,Bernier)
(bernije01,Jean,Bernier)
(bernijo01,Jonathan,Bernier)
(bernise01,Serge,Bernier)
(bernist01,Steve,Bernier)
(berrybo01,Bob,Berry)
(berrybr01,Brad,Berry)
(berrydo01,Doug,Berry)
(berryfr01,Fred,Berry)
(berryke01,Ken,Berry)
(berryri01,Rick,Berry)
(berthda01,Daniel,Berthiaume)
(bertiad01,Adam,Berti)
(bertrer01,Eric,Bertrand)
(bertrlo01,Lorenzo,Bertrand)
(bertuto01,Todd,Bertuzzi)
(berubcr01,Craig,Berube)
(besleph01,Phil,Besler)
(bessope01,Pete,Bessone)
(besteal01,Allan,Bester)
(bethejo01,John,Bethel)
(betikka01,Karel,Betik)
(betsma01,Maxim,Bets)
(bettisa01,Sam,Bettio)
(bettsbl01,Blair,Betts)
(beukeje01,Jeff,Beukeboom)
(beverbi01,Bill,Beveridge)
(beverni01,Nick,Beverley)
(bezakma01,Marian,Bezak)
(bezingo01,Goran,Bezina)
(bialodw01,Dwight,Bialowas)
(bialofr01,Frank,Bialowas)
(biancwa01,Wayne,Bianchin)
(bibeapa01,Paul,Bibeault)
(bicanra01,Radim,Bicanek)
(bicekji01,Jiri,Bicek)
(bickebr01,Bryan,Bickell)
(bickest01,Stu,Bickel)
(bidneto01,Todd,Bidner)
(biekske01,Kevin,Bieksa)
(bierkza01,Zac,Bierk)
(biggsdo01,Don,Biggs)
(bignela01,Larry,Bignell)
(biljazi01,Zinetul,Biljaketdinov)
(billicr01,Craig,Billington)
(bilodgi01,Gilles,Bilodeau)
(bilodyv01,Yvon,Bilodeau)
(binetan01,Andre,Binette)
(binklle01,Les,Binkley)
(binnebi01,Bill,Binney)
(biondja01,Jack,Bionda)
(bironma01,Martin,Biron)
(bironma02,Mathieu,Biron)
(bisaise01,Sebastien,Bisaillon)
(bishami01,Mike,Bishai)
(bishobe01,Ben,Bishop)
(bisseto01,Tom,Bissett)
(bissopa01,Paul,Bissonnette)
(bittnri01,Richard,Bittner)
(bitzby01,Byron,Bitz)
(bjugssc01,Scott,Bjugstad)
(blachce01,Cecil,Blachford)
(blackbi01,Bill,Blackwood)
(blackbo01,Bob,Blackburn)
(blackda01,Dan,Blackburn)
(blackdo01,Don,Blackburn)
(blackja01,James,Black)
(blackmi01,Milt,Black)
(blackst01,Steve,Black)
(bladeha01,Hank,Blade)
(bladoto01,Tom,Bladon)
(blainga01,Garry,Blaine)
(blainja01,Jacques,Blain)
(blairan01,Andy,Blair)
(blairch01,Chuck,Blair)
(blairdu01,Dusty,Blair)
(blaismi01,Mike,Blaisdell)
(blakebo01,Bob,Blake)
(blakeja01,Jason,Blake)
(blakemi01,Mickey,Blake)
(blakemi02,Mike,Blake)
(blakero01,Rob,Blake)
(blaketo01,Toe,Blake)
(blancbe01,Bernie,Blanchette)
(blancbo01,Bob,Blanchet)
(blatnzd01,Zdenek,Blatny)
(blighri01,Rick,Blight)
(blincru01,Russ,Blinco)
(bliznma01,Mario,Bliznak)
(blockke01,Ken,Block)
(bloemje01,Jeff,Bloemberg)
(blomqti01,Timo,Blomqvist)
(blomsar01,Arto,Blomsten)
(bloommi01,Mike,Bloom)
(blouisy01,Sylvain,Blouin)
(bluejo01,John,Blue)
(blumfr01,Frank,Blum)
(blumjo01,John,Blum)
(blumjo02,Jonathon,Blum)
(blundmi01,Michael,Blunden)
(bobrose01,Sergei,Bobrovsky)
(bochebr01,Brandon,Bochenski)
(bodakbo01,Bob,Bodak)
(boddygr01,Gregg,Boddy)
(bodgedo01,Doug,Bodger)
(bodietr01,Troy,Bodie)
(bodnaan01,Andrew,Bodnarchuk)
(bodnagu01,Gus,Bodnar)
(boedkmi01,Mikkel,Boedker)
(boehmro01,Ron,Boehm)
(boescga01,Garth,Boesch)
(bogosza01,Zach,Bogosian)
(boguner01,Eric,Boguniecki)
(bohonlo01,Lonny,Bohonos)
(bohri01,Rick,Boh)
(boikoal01,Alexandre,Boikov)
(boilema01,Marc,Boileau)
(boilepa01,Patrick,Boileau)
(boilere01,Rene,Boileau)
(boimifr01,Fred,Boimistruck)
(boisda01,Danny,Bois)
(boisvgi01,Gilles,Boisvert)
(boisvse01,Serge,Boisvert)
(boivicl01,Claude,Boivin)
(boivile01,Leo,Boivin)
(bolanmi01,Mike,Boland)
(bolanmi02,Mike,Boland)
(boldiiv01,Ivan,Boldirev)
(boldual01,Alexandre,Bolduc)
(bolduda01,Danny,Bolduc)
(boldumi01,Michel,Bolduc)
(bollada01,Dave,Bolland)
(bollbu01,Buzz,Boll)
(bollibr01,Brandon,Bollig)
(bollja01,Jared,Boll)
(bolonla01,Larry,Bolonchuk)
(boltohu01,Hugh,Bolton)
(bombabr01,Brad,Bombardir)
(bonarda01,Dan,Bonar)
(bondke01,Kerry,Bond)
(bondrpe01,Peter,Bondra)
(boninbr01,Brian,Bonin)
(boninma01,Marcel,Bonin)
(boninni01,Nick,Bonino)
(bonkra01,Radek,Bonk)
(bonniry01,Ryan,Bonni)
(bonsija01,Jason,Bonsignore)
(bonvide01,Dennis,Bonvie)
(boogade01,Derek,Boogaard)
(booji01,Jim,Boo)
(boonebu01,Buddy,Boone)
(boothda01,David,Booth)
(boothge01,George,Boothman)
(bootlda01,Darryl,Bootland)
(bordech01,Christian,Bordeleau)
(bordejp01,J.P.,Bordeleau)
(bordepa01,Paulin,Bordeleau)
(bordese01,Sebastien,Bordeleau)
(borerca01,Casey,Borer)
(borgedo01,Don,Borgeson)
(borotja01,Jack,Borotsik)
(borowma01,Mark,Borowiecki)
(borsalu01,Luciano,Borsato)
(borscni01,Nikolai,Borschevsky)
(borturo01,Robert,Bortuzzo)
(boschla01,Laurie,Boschman)
(bossymi01,Mike,Bossy)
(bostrhe01,Helge,Bostrom)
(botelma01,Mark,Botell)
(bothwti01,Tim,Bothwell)
(botteja01,Jason,Botterill)
(bottica01,Cam,Botting)
(bouchbi01,Billy,Boucher)
(bouchbo01,Bobby,Boucher)
(bouchbr01,Brian,Boucher)
(bouchbu01,Butch,Bouchard)
(bouchcl01,Clarence,Boucher)
(bouchda01,Dan,Bouchard)
(bouchdi01,Dick,Bouchard)
(bouched01,Edmond,Bouchard)
(bouchfr01,Frank,Boucher)
(bouchge01,Georges,Boucher)
(bouchhe01,Henry,Boucha)
(bouchjo01,Joel,Bouchard)
(bouchph01,Philippe,Boucher)
(bouchpi01,Pierre,Bouchard)
(bouchpi02,Pierre-Marc,Bouchard)
(bouckty01,Tyler,Bouck)
(boudran01,Andre,Boudrias)
(boudrbr01,Bruce,Boudreau)
(boudrmi01,Michel,Boudreau)
(boughba01,Barry,Boughner)
(boughbo01,Bob,Boughner)
(bougije01,Jean,Bougie)
(bouilfr01,Francis,Bouillon)
(bouleje01,Jesse,Boulerice)
(boultbe01,Bert,Boulton)
(boulter01,Eric,Boulton)
(boumala01,Lance,Bouma)
(boumejo01,Josef,Boumedienne)
(bourbda01,Dan,Bourbonnais)
(bourbri01,Rick,Bourbonnais)
(bourcco01,Conrad,Bourcier)
(bourcje01,Jean,Bourcier)
(bourdlu01,Luc,Bourdon)
(bourdma01,Marc-Andre,Bourdon)
(bourgch01,Charlie,Bourgeois)
(bourgle01,Leo,Bourgeault)
(bournbo01,Bob,Bourne)
(bourqch01,Chris,Bourque)
(bourqcl01,Claude,Bourque)
(bourqga01,Gabriel,Bourque)
(bourqph01,Phil,Bourque)
(bourqra01,Raymond,Bourque)
(bourqre01,Rene,Bourque)
(boutepa01,Pat,Boutette)
(boutipa01,Paul,Boutilier)
(boutiro01,Rollie,Boutin)
(bouvrli01,Lionel,Bouvrette)
(bouwmja01,Jay,Bouwmeester)
(bowenja01,Jason,Bowen)
(bowerjo01,Johnny,Bower)
(bowlebi01,Bill,Bowler)
(bowlebr01,Brian,Bowles)
(bowmadr01,Drayson,Bowman)
(bowmaki01,Kirk,Bowman)
(bowmara01,Ralph,Bowman)
(bownaja01,Jack,Bownass)
(bowneri01,Rick,Bowness)
(boxtr01,Trooper,Box)
(boycear01,Art,Boyce)
(boyceda01,Darryl,Boyce)
(boychjo01,Johnny,Boychuk)
(boychza01,Zach,Boychuk)
(boydbi01,Bill,Boyd)
(boydbo01,Bob,Boyd)
(boyddu01,Dustin,Boyd)
(boydir01,Irwin,Boyd)
(boydji01,Jim,Boyd)
(boydra01,Randy,Boyd)
(boyerwa01,Wally,Boyer)
(boyerza01,Zac,Boyer)
(boyesbr01,Brad,Boyes)
(boykoda01,Darren,Boyko)
(boylade01,Dean,Boylan)
(boylebr01,Brian,Boyle)
(boyleda01,Dan,Boyle)
(boyntni01,Nick,Boynton)
(bozakty01,Tyler,Bozak)
(bozekst01,Steve,Bozek)
(bozonph01,Philippe,Bozon)
(brackcu01,Curt,Brackenbury)
(brackjo01,John,Brackenborough)
(bradlba01,Bart,Bradley)
(bradlbr01,Brian,Bradley)
(bradlbr02,Brian,Bradley)
(bradlly01,Lyle,Bradley)
(bradlma01,Matt,Bradley)
(bradyne01,Neil,Brady)
(bragiva01,Valeri,Bragin)
(bragnri01,Rick,Bragnalo)
(brandch01,Christoph,Brandner)
(brandru01,Rube,Brandow)
(branian01,Andy,Branigan)
(brasape01,Per-Olov,Brasar)
(brashdo01,Donald,Brashear)
(brassde01,Derick,Brassard)
(brathfr01,Fred,Brathwaite)
(braunju01,Justin,Braun)
(braydu01,Duane,Bray)
(braysru01,Russ,Brayshaw)
(breaufr01,Francois,Breault)
(brediga01,Gary,Bredin)
(breitke01,Ken,Breitenbach)
(brendpa01,Pavel,Brendl)
(brennda01,Dan,Brennan)
(brenndo01,Doug,Brennan)
(brennjo01,John,Brenneman)
(brennki01,Kip,Brennan)
(brennri01,Rich,Brennan)
(brenntj01,T.J.,Brennan)
(brennto01,Tom,Brennan)
(brenoma01,Maurice,Brenot)
(brentti01,Tim,Brent)
(brettjo01,Joe,Bretto)
(breweca01,Carl,Brewer)
(breweer01,Eric,Brewer)
(brickan01,Andy,Brickley)
(bridear01,Archie,Briden)
(bridgme01,Mel,Bridgman)
(brierda01,Danny,Briere)
(briermi01,Michel,Briere)
(brigltr01,Travis,Brigley)
(brimaar01,Aris,Brimanis)
(brimsfr01,Frank,Brimsek)
(brinddo01,Doug,Brindley)
(brindro01,Rod,Brind'Amour)
(brineda01,David,Brine)
(brinkmi01,Milt,Brink)
(brisepa01,Patrice,Brisebois)
(brissge01,Gerry,Brisson)
(britzgr01,Greg,Britz)
(broadpu01,Punch,Broadbent)
(brochma01,Martin,Brochu)
(brochst01,Stephane,Brochu)
(brock01,,Brock)
(brodatu01,Turk,Broda)
(brodeco01,Connie,Broden)
(brodeke01,Ken,Broderick)
(brodele01,Len,Broderick)
(brodema01,Martin,Brodeur)
(brodemi01,Mike,Brodeur)
(broderi01,Richard,Brodeur)
(broditj01,T.J.,Brodie)
(brodzky01,Kyle,Brodziak)
(bromlga01,Gary,Bromley)
(brook01,,Brooks)
(brookal01,Alex,Brooks)
(brookar01,Art,Brooks)
(brookbo01,Bob,Brooke)
(brookgo01,Gord,Brooks)
(brookro01,Ross,Brooks)
(brooksh01,Sheldon,Brookbank)
(brookwa01,Wade,Brookbank)
(brophbe01,Bernie,Brophy)
(brophev01,Evan,Brophey)
(brophfr01,Frank,Brophy)
(brosswi01,Willie,Brossart)
(broteaa01,Aaron,Broten)
(brotene01,Neal,Broten)
(brotepa01,Paul,Broten)
(brougge01,George,Broughton)
(brouspa01,Paul,Brousseau)
(brouwtr01,Troy,Brouwer)
(brownad01,Adam,Brown)
(brownan01,Andy,Brown)
(brownar01,Arnie,Brown)
(brownbo01,Bob,Brown)
(brownbr01,Brad,Brown)
(brownca01,Cam,Brown)
(brownce01,Cecil,Browne)
(brownco01,Connie,Brown)
(browncu01,Curtis,Brown)
(brownda01,Dave,Brown)
(browndo01,Doug,Brown)
(browndu01,Dustin,Brown)
(brownfr01,Fred,Brown)
(brownge01,George,Brown)
(brownge02,Gerry,Brown)
(browngr01,Greg,Brown)
(brownha01,Harold,Brown)
(brownja01,Jack,Brownschidle)
(brownja02,Jack,Brown)
(brownje01,Jeff,Brownschidle)
(brownje02,Jeff,Brown)
(brownji01,Jim,Brown)
(brownjt01,J.T.,Brown)
(brownke01,Ken,Brown)
(brownke02,Keith,Brown)
(brownke03,Kevin,Brown)
(brownla01,Larry,Brown)
(brownmi01,Mike,Brown)
(brownmi02,Mike,Brown)
(brownro01,Rob,Brown)
